Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.5 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0 []
EncounterTemplate run_seed=1777249058 templates=33
EncounterTemplate selected room=room_boss_approach_large_c02_06 encounter=boss template=mass_basics display=Mass Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_combat_skirmish_small_c03_02 encounter=arena_room_combat_skirmish_small_c03_02 template=flow_basics display=Flow Basics repeated=false stage=unused_compatible tags=arena,combat,small
EncounterTemplate selected room=room_combat_tactical_medium_c02_04 encounter=arena_room_combat_tactical_medium_c02_04 template=phase_distraction display=Phase Distraction repeated=false stage=unused_compatible tags=arena,combat,medium
Dungeon Pipeline Graph: { "rooms": 7, "links": 6 }
FPS_LOG t=27.9 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=28.2 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=28.4 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=28.7 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=29.0 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=29.2 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=29.5 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=29.7 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=30.0 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=30.2 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=30.5 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=30.7 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=31.0 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=31.2 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=31.5 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=31.8 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=32.0 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=32.3 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=32.5 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=32.8 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=33.0 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=33.3 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=33.5 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=33.8 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=34.0 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=34.3 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=34.6 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=34.8 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
